Code,variable,value
3330,Non_sch_quals_PostGrad_Dgre_M,0
3331,Non_sch_quals_PostGrad_Dgre_M,14
3332,Non_sch_quals_PostGrad_Dgre_M,5
3333,Non_sch_quals_PostGrad_Dgre_M,8
3334,Non_sch_quals_PostGrad_Dgre_M,3
3335,Non_sch_quals_PostGrad_Dgre_M,3
3337,Non_sch_quals_PostGrad_Dgre_M,139
3338,Non_sch_quals_PostGrad_Dgre_M,72
3340,Non_sch_quals_PostGrad_Dgre_M,120
3341,Non_sch_quals_PostGrad_Dgre_M,17
3342,Non_sch_quals_PostGrad_Dgre_M,14
3345,Non_sch_quals_PostGrad_Dgre_M,8
3350,Non_sch_quals_PostGrad_Dgre_M,688
3351,Non_sch_quals_PostGrad_Dgre_M,31
3352,Non_sch_quals_PostGrad_Dgre_M,112
3355,Non_sch_quals_PostGrad_Dgre_M,71
3356,Non_sch_quals_PostGrad_Dgre_M,40
3357,Non_sch_quals_PostGrad_Dgre_M,59
3360,Non_sch_quals_PostGrad_Dgre_M,5
3361,Non_sch_quals_PostGrad_Dgre_M,3
3363,Non_sch_quals_PostGrad_Dgre_M,32
3364,Non_sch_quals_PostGrad_Dgre_M,27
3370,Non_sch_quals_PostGrad_Dgre_M,6
3371,Non_sch_quals_PostGrad_Dgre_M,6
3373,Non_sch_quals_PostGrad_Dgre_M,3
3374,Non_sch_quals_PostGrad_Dgre_M,4
3375,Non_sch_quals_PostGrad_Dgre_M,0
3377,Non_sch_quals_PostGrad_Dgre_M,27
3378,Non_sch_quals_PostGrad_Dgre_M,0
3379,Non_sch_quals_PostGrad_Dgre_M,0
3380,Non_sch_quals_PostGrad_Dgre_M,16
3381,Non_sch_quals_PostGrad_Dgre_M,8
3384,Non_sch_quals_PostGrad_Dgre_M,3
3385,Non_sch_quals_PostGrad_Dgre_M,0
3387,Non_sch_quals_PostGrad_Dgre_M,0
3388,Non_sch_quals_PostGrad_Dgre_M,3
3390,Non_sch_quals_PostGrad_Dgre_M,0
3391,Non_sch_quals_PostGrad_Dgre_M,0
3392,Non_sch_quals_PostGrad_Dgre_M,0
3393,Non_sch_quals_PostGrad_Dgre_M,12
3395,Non_sch_quals_PostGrad_Dgre_M,5
3396,Non_sch_quals_PostGrad_Dgre_M,0
3400,Non_sch_quals_PostGrad_Dgre_M,88
3401,Non_sch_quals_PostGrad_Dgre_M,18
3407,Non_sch_quals_PostGrad_Dgre_M,3
3409,Non_sch_quals_PostGrad_Dgre_M,4
