Code,Area sqkm,Tot_P_M,Tot_P_F,Tot_P_P,R_Tot_Total,O_Tot_Total,0-9F,0-9M,10-19F,10-19M,20-29F,20-29M,30-39F,30-39M,40-49F,40-49M,50-59F,50-59M,60-69F,60-69M,70-79F,70-79M,80-89F,80-89M,90+F,90+M,Median_Tot_fam_inc_weekly,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,A,B
3085,7.90189,6744,6993,13737,1119,3601,1830,1888,1458,1654,1850,2080,2188,2020,1984,1968,1580,1486,1268,1130,828,704,372,241,128,39,1823,332,244,116,216,902,1128,488,547,1172,537,101.0,331.0
3086,2.48577,397,606,1003,0,0,20,14,460,224,660,486,56,46,16,8,0,0,0,0,0,14,0,0,0,0,0,19,27,0,6,46,50,18,18,24,41,,
3087,3.7856,4358,4626,8984,679,2595,1118,1074,938,1108,1220,1116,1434,1350,1224,1192,1162,1018,992,904,714,654,208,131,18,18,1529,127,95,54,109,442,592,295,387,959,451,86.0,323.0
3088,13.1177,12852,13613,26465,1540,7604,3200,3462,3102,3314,3420,3570,3754,3602,3980,3532,4114,3424,2804,2818,1554,1286,514,304,134,44,1783,380,370,218,431,1490,1912,1012,1155,2748,1283,268.0,978.0
3089,19.8083,5658,5846,11504,362,3195,1460,1558,1904,2020,1442,1470,1544,1376,2118,1810,1694,1674,920,912,388,348,94,65,17,8,2033,120,115,90,171,517,733,395,516,1381,548,95.0,304.0
3090,10.9751,1037,1056,2093,33,567,310,274,406,380,194,248,226,140,412,456,274,280,206,198,66,78,8,9,3,0,2257,35,21,15,17,95,125,61,72,241,72,9.0,57.0
3091,15.3454,778,732,1510,29,418,156,178,266,296,156,176,114,98,298,260,240,244,182,190,44,72,4,19,0,3,2075,26,13,9,12,66,85,45,70,193,73,3.0,36.0
3093,6.82225,1826,1956,3782,242,1094,374,408,460,452,396,472,498,414,570,482,542,530,468,466,296,256,118,72,36,14,2088,89,60,40,73,258,332,153,173,335,152,24.0,65.0
3094,3.89937,4171,4588,8759,593,2701,1100,1166,994,982,1106,978,1366,1238,1260,1194,1394,1132,1100,1016,532,396,143,105,19,15,1806,153,161,91,201,528,769,345,413,921,435,63.0,168.0
3095,30.1795,13526,14116,27642,959,7949,3434,3648,4264,4512,2962,3184,3168,2736,4822,4236,4936,4496,2834,2880,1064,980,283,165,91,25,2175,636,477,334,530,1857,2327,1073,1326,2522,1164,131.0,503.0
3096,7.01624,963,983,1946,38,520,232,276,348,326,216,214,214,186,302,294,298,286,186,214,72,76,31,19,18,9,1902,16,19,9,28,77,112,80,76,243,104,5.0,21.0
3097,38.0341,652,643,1295,53,348,202,136,188,244,94,104,116,104,236,220,188,216,174,200,62,62,10,6,3,3,2058,35,36,12,27,95,115,47,65,118,30,3.0,12.0
3099,110.318,2450,2428,4878,177,1407,628,628,680,768,498,610,568,482,794,742,916,860,506,530,172,204,43,34,4,5,1809,77,76,45,90,231,370,176,268,623,233,44.0,96.0
3101,10.6475,11415,12461,23876,2443,5805,2548,2488,3090,3114,3560,3578,2990,2738,3670,3236,3350,3062,2464,2366,1490,1236,656,421,225,85,2577,1257,933,278,500,2787,3057,680,1057,781,618,107.0,830.0
3102,3.90137,2910,3107,6017,525,1568,764,828,810,846,778,724,700,648,1112,964,774,742,572,526,366,328,138,94,31,13,2198,215,212,82,144,609,729,209,241,254,135,20.0,151.0
3103,5.4567,7137,8186,15323,1279,4091,1374,1462,2342,2526,1962,1908,1418,1194,2620,2094,2316,2012,1602,1486,1270,824,554,330,180,54,2144,683,456,171,267,1600,1793,520,814,517,400,32.0,376.0
3104,8.99584,9938,10379,20317,1146,5530,2098,2200,3228,3694,2140,2392,1836,1560,3610,3012,2914,2880,1932,1836,1492,1220,631,470,123,70,2140,755,514,207,338,2112,2227,705,875,787,550,56.0,378.0
3105,6.67108,5325,5543,10868,693,3223,1092,1232,1088,1192,1198,1228,1386,1328,1608,1510,1318,1236,1372,1080,1372,1226,292,285,35,24,1469,250,205,69,128,820,918,356,440,744,399,49.0,266.0
3106,16.1172,7974,8510,16484,605,4603,1584,1534,2120,2366,2082,2094,1652,1494,2686,2170,2658,2462,2188,2100,1090,1182,342,229,137,44,1959,528,301,126,219,1481,1559,603,743,978,614,63.0,211.0
3107,5.93819,6344,6808,13152,665,3838,1384,1444,1270,1488,1312,1374,1632,1574,1938,1910,1604,1354,1914,1524,1488,1382,382,276,155,43,1682,313,256,131,165,1076,1150,501,598,910,437,48.0,158.0
3108,8.77437,8830,9530,18360,1386,5191,1640,1742,1908,1922,2406,2494,2130,2048,2700,2372,2384,2130,2502,2026,2170,1956,546,435,63,51,1445,555,415,155,216,1592,1728,717,850,1063,613,145.0,1214.0
3109,11.172,13017,14030,27047,1890,7311,2642,2868,3394,3624,3366,3436,3384,3158,4320,3644,3792,3372,3412,2830,2238,2100,625,461,130,40,1540,721,512,192,295,2173,2371,992,1276,1728,993,112.0,552.0
3111,11.6506,5716,6078,11794,570,3301,1240,1376,1520,1582,1210,1362,1402,1262,1770,1652,1744,1574,1518,1386,884,796,313,191,120,31,1926,267,202,111,182,994,1025,419,541,880,469,25.0,132.0
3113,26.1089,4240,4236,8476,205,2424,1152,1204,1330,1366,746,906,888,710,1554,1448,1406,1396,926,926,316,392,66,58,10,9,2267,232,174,87,182,651,763,321,434,715,316,30.0,92.0
3114,9.38956,1888,1830,3718,38,1037,422,490,646,702,348,372,302,254,686,656,550,560,424,446,218,218,27,39,4,0,2437,73,50,50,55,300,319,149,176,315,125,53.0,41.0
3115,23.2171,1945,1888,3833,74,1066,426,414,666,830,370,448,366,286,776,664,626,636,382,404,114,134,25,34,0,3,2319,55,51,23,37,208,261,152,158,444,172,8.0,28.0
3116,22.2027,4499,4626,9125,342,2720,996,1090,1238,1312,1096,1184,1062,1006,1362,1284,1404,1192,1168,1144,650,558,129,109,8,5,1563,60,44,43,74,314,442,320,401,1094,558,38.0,361.0
