Code,A,B,PTYPE
3659,7.0,30.0,Property
3660,265.0,424.0,Property
3662,5.0,13.0,Property
3663,1.0,10.0,Property
3664,21.0,21.0,Property
3666,44.0,98.0,Property
3669,14.0,32.0,Property
3670,9.0,10.0,Property
3672,180.0,440.0,Property
3673,5.0,16.0,Property
3675,12.0,37.0,Property
3677,351.0,913.0,Property
3678,18.0,39.0,Property
3682,3.0,15.0,Property
3683,9.0,46.0,Property
3685,17.0,61.0,Property
3687,4.0,32.0,Property
3688,5.0,26.0,Property
3690,426.0,2053.0,Property
3691,28.0,131.0,Property
3694,,,Property
3695,,6.0,Property
3697,4.0,6.0,Property
3698,,6.0,Property
3699,5.0,28.0,Property
3700,9.0,34.0,Property
3701,4.0,14.0,Property
3705,,5.0,Property
3707,31.0,45.0,Property
3709,2.0,9.0,Property
3711,,4.0,Property
3712,2.0,7.0,Property
3713,19.0,51.0,Property
3714,32.0,71.0,Property
3715,4.0,4.0,Property
3717,30.0,59.0,Property
3719,,10.0,Property
3720,6.0,35.0,Property
3722,43.0,95.0,Property
3723,9.0,79.0,Property
3725,4.0,8.0,Property
3726,3.0,4.0,Property
3727,1.0,3.0,Property
3728,2.0,11.0,Property
3730,50.0,235.0,Property
3732,,6.0,Property
3733,4.0,2.0,Property
3735,1.0,1.0,Property
3737,28.0,99.0,Property
3739,2.0,2.0,Property
3740,6.0,11.0,Property
3741,27.0,66.0,Property
3744,2.0,4.0,Property
3746,,8.0,Property
3747,24.0,64.0,Property
3749,3.0,19.0,Property
3750,14.0,223.0,Property
3751,1.0,14.0,Property
3752,240.0,769.0,Property
3753,12.0,52.0,Property
3754,109.0,1004.0,Property
3755,6.0,9.0,Property
3756,134.0,327.0,Property
3757,66.0,258.0,Property
3758,23.0,42.0,Property
3759,13.0,9.0,Property
3760,,1.0,Property
3761,9.0,9.0,Property
3763,21.0,24.0,Property
3764,85.0,242.0,Property
3765,49.0,153.0,Property
3766,4.0,17.0,Property
3767,1.0,36.0,Property
3770,29.0,64.0,Property
3775,14.0,68.0,Property
3777,83.0,245.0,Property
3778,3.0,5.0,Property
3779,6.0,23.0,Property
