POSTCODE,FREQUENTAGE,CRIMETYPE,CRIMES
3727,50-59M,Personal,1.0
3728,60-69M,Personal,2.0
3730,60-69F,Personal,50.0
3732,40-49M,Personal,
3733,50-59F,Personal,4.0
3735,10-19M,Personal,1.0
3737,50-59M,Personal,28.0
3739,50-59F,Personal,2.0
3740,50-59F,Personal,6.0
3741,60-69M,Personal,27.0
3744,50-59F,Personal,2.0
3746,60-69M,Personal,
3747,50-59F,Personal,24.0
3749,40-49F,Personal,3.0
3750,20-29F,Personal,14.0
3751,60-69M,Personal,1.0
3752,30-39F,Personal,240.0
3753,40-49M,Personal,12.0
3754,0-9M,Personal,109.0
3755,40-49M,Personal,6.0
3756,0-9F,Personal,134.0
3757,0-9M,Personal,66.0
3758,10-19F,Personal,23.0
3759,40-49F,Personal,13.0
3760,40-49F,Personal,
3761,50-59M,Personal,9.0
3763,40-49M,Personal,21.0
3764,10-19M,Personal,85.0
3765,40-49F,Personal,49.0
3766,50-59M,Personal,4.0
3767,50-59F,Personal,1.0
3770,50-59M,Personal,29.0
3775,40-49M,Personal,14.0
3777,50-59F,Personal,83.0
3778,50-59F,Personal,3.0
3779,60-69F,Personal,6.0
3781,10-19M,Personal,29.0
3782,40-49F,Personal,40.0
3783,40-49F,Personal,15.0
3785,0-9F,Personal,
3786,50-59M,Personal,3.0
3787,50-59M,Personal,8.0
3788,40-49F,Personal,12.0
3789,50-59F,Personal,1.0
3791,50-59M,Personal,5.0
3792,50-59F,Personal,5.0
3793,40-49F,Personal,17.0
3795,10-19M,Personal,3.0
3796,10-19M,Personal,47.0
3797,40-49F,Personal,35.0
3799,40-49F,Personal,36.0
3800,20-29M,Personal,
3802,50-59F,Personal,243.0
3803,20-29F,Personal,155.0
3804,10-19M,Personal,19.0
3805,10-19M,Personal,588.0
3806,40-49F,Personal,356.0
3807,40-49F,Personal,46.0
3808,40-49F,Personal,92.0
3809,20-29F,Personal,25.0
3810,0-9M,Personal,585.0
3812,10-19F,Personal,19.0
3813,40-49M,Personal,3.0
3814,10-19F,Personal,13.0
3815,40-49M,Personal,17.0
3816,10-19M,Personal,29.0
3818,0-9M,Personal,135.0
3820,10-19M,Personal,210.0
3821,40-49F,Personal,15.0
3822,40-49F,Personal,5.0
3823,50-59F,Personal,16.0
3824,50-59F,Personal,31.0
3825,50-59M,Personal,600.0
3831,10-19M,Personal,26.0
3832,50-59M,Personal,
3833,60-69M,Personal,6.0
3835,50-59F,Personal,12.0
3840,10-19M,Personal,654.0
3842,20-29F,Personal,200.0
3844,40-49F,Personal,747.0
